Match Number,Round Number,Date,Location,Home Team,Away Team,Result
216,22,28/01/2024 18:00,Olimpico,Lazio,Napoli,
213,22,28/01/2024 20:45,Artemio Franchi,Fiorentina,Inter,
219,22,29/01/2024 20:45,Arechi,Salernitana,Roma,
226,23,02/02/2024 20:45,Ettore Giardiniero - Via del mare,Lecce,Fiorentina,
223,23,03/02/2024 15:00,Carlo Castellani,Empoli,Genoa,
230,23,03/02/2024 15:00,Friuli,Udinese,Monza,
224,23,03/02/2024 18:00,Benito Stirpe,Frosinone,Milan,
222,23,03/02/2024 20:45,Renato Dall'Ara,Bologna,Sassuolo,
229,23,04/02/2024 12:30,Olimpico Grande Torino,Torino,Salernitana,
227,23,04/02/2024 15:00,Diego Armando Maradona,Napoli,Hellas Verona,
221,23,04/02/2024 18:00,Atleti Azzurri d'Italia,Atalanta,Lazio,
225,23,04/02/2024 20:45,San Siro,Inter,Juventus,
228,23,05/02/2024 20:45,Olimpico,Roma,Cagliari,
