Match Number,Round Number,Date,Location,Home Team,Away Team,Result
319,32,14/04/2024 00:00,Olimpico Grande Torino,Torino,Juventus,
320,32,14/04/2024 00:00,Friuli,Udinese,Roma,
321,33,21/04/2024 00:00,Unipol Domus,Cagliari,Juventus,
322,33,21/04/2024 00:00,Carlo Castellani,Empoli,Napoli,
323,33,21/04/2024 00:00,Luigi Ferraris,Genoa,Lazio,
324,33,21/04/2024 00:00,San Siro,Milan,Inter,
325,33,21/04/2024 00:00,Brianteo,Monza,Atalanta,
326,33,21/04/2024 00:00,Olimpico,Roma,Bologna,
327,33,21/04/2024 00:00,Arechi,Salernitana,Fiorentina,
328,33,21/04/2024 00:00,Mapei Stadium - Città del Tricolore,Sassuolo,Lecce,
329,33,21/04/2024 00:00,Olimpico Grande Torino,Torino,Frosinone,
330,33,21/04/2024 00:00,Marcantonio Bentegodi,Hellas Verona,Udinese,
331,34,28/04/2024 00:00,Benito Stirpe,Frosinone,Salernitana,
332,34,28/04/2024 00:00,Luigi Ferraris,Genoa,Cagliari,
333,34,28/04/2024 00:00,San Siro,Inter,Torino,
334,34,28/04/2024 00:00,Juventus Stadium,Juventus,Milan,
335,34,28/04/2024 00:00,Olimpico,Lazio,Hellas Verona,
336,34,28/04/2024 00:00,Ettore Giardiniero - Via del mare,Lecce,Monza,
337,34,28/04/2024 00:00,Diego Armando Maradona,Napoli,Roma,
338,34,28/04/2024 00:00,Atleti Azzurri d'Italia,Atalanta,Empoli,
339,34,28/04/2024 00:00,Renato Dall'Ara,Bologna,Udinese,
340,34,28/04/2024 00:00,Artemio Franchi,Fiorentina,Sassuolo,
341,35,05/05/2024 00:00,Unipol Domus,Cagliari,Lecce,
342,35,05/05/2024 00:00,Carlo Castellani,Empoli,Frosinone,
343,35,05/05/2024 00:00,San Siro,Milan,Genoa,
344,35,05/05/2024 00:00,Brianteo,Monza,Lazio,
345,35,05/05/2024 00:00,Olimpico,Roma,Juventus,
346,35,05/05/2024 00:00,Arechi,Salernitana,Atalanta,
347,35,05/05/2024 00:00,Mapei Stadium - Città del Tricolore,Sassuolo,Inter,
348,35,05/05/2024 00:00,Olimpico Grande Torino,Torino,Bologna,
349,35,05/05/2024 00:00,Friuli,Udinese,Napoli,
350,35,05/05/2024 00:00,Marcantonio Bentegodi,Hellas Verona,Fiorentina,
351,36,12/05/2024 00:00,Atleti Azzurri d'Italia,Atalanta,Roma,
352,36,12/05/2024 00:00,Artemio Franchi,Fiorentina,Monza,
353,36,12/05/2024 00:00,Benito Stirpe,Frosinone,Inter,
354,36,12/05/2024 00:00,Luigi Ferraris,Genoa,Sassuolo,
355,36,12/05/2024 00:00,Juventus Stadium,Juventus,Salernitana,
356,36,12/05/2024 00:00,Olimpico,Lazio,Empoli,
357,36,12/05/2024 00:00,Ettore Giardiniero - Via del mare,Lecce,Udinese,
358,36,12/05/2024 00:00,San Siro,Milan,Cagliari,
359,36,12/05/2024 00:00,Diego Armando Maradona,Napoli,Bologna,
360,36,12/05/2024 00:00,Marcantonio Bentegodi,Hellas Verona,Torino,
361,37,19/05/2024 00:00,Renato Dall'Ara,Bologna,Juventus,
362,37,19/05/2024 00:00,Artemio Franchi,Fiorentina,Napoli,
363,37,19/05/2024 00:00,San Siro,Inter,Lazio,
364,37,19/05/2024 00:00,Ettore Giardiniero - Via del mare,Lecce,Atalanta,
365,37,19/05/2024 00:00,Brianteo,Monza,Frosinone,
366,37,19/05/2024 00:00,Olimpico,Roma,Genoa,
367,37,19/05/2024 00:00,Arechi,Salernitana,Hellas Verona,
368,37,19/05/2024 00:00,Mapei Stadium - Città del Tricolore,Sassuolo,Cagliari,
369,37,19/05/2024 00:00,Olimpico Grande Torino,Torino,Milan,
370,37,19/05/2024 00:00,Friuli,Udinese,Empoli,
371,38,26/05/2024 00:00,Juventus Stadium,Juventus,Monza,
372,38,26/05/2024 00:00,Olimpico,Lazio,Sassuolo,
373,38,26/05/2024 00:00,San Siro,Milan,Salernitana,
374,38,26/05/2024 00:00,Diego Armando Maradona,Napoli,Lecce,
375,38,26/05/2024 00:00,Marcantonio Bentegodi,Hellas Verona,Inter,
376,38,26/05/2024 00:00,Atleti Azzurri d'Italia,Atalanta,Torino,
377,38,26/05/2024 00:00,Unipol Domus,Cagliari,Fiorentina,
378,38,26/05/2024 00:00,Carlo Castellani,Empoli,Roma,
379,38,26/05/2024 00:00,Benito Stirpe,Frosinone,Udinese,
380,38,26/05/2024 00:00,Luigi Ferraris,Genoa,Bologna,
